Company,Cluster,Cluster_Label,Debt_Ratio,Profit_Margin,Cash_Ratio,Asset_Efficiency,Return_on_Assets,PRS_Score,Risk_Level
3M CO,0,Medium Risk Cluster,0.874370527431752,0.13026052104208416,0.07274931797514397,0.6612774980121919,0.0861383514444739,55.17,Medium Risk
"ADVANCED DRAINAGE SYSTEMS, INC.",0,Medium Risk Cluster,0.5555555555555555,0.15517241379310345,0.22439024390243906,0.7859078590785907,0.12195121951219513,34.53,Low Risk
ADVANCED ENERGY INDUSTRIES INC,0,Medium Risk Cluster,0.4627450980392157,0.11111111111111112,0.6694915254237289,0.17647058823529413,0.019607843137254905,44.24,Low Risk
AECOM,0,Medium Risk Cluster,0.778688524590164,0.03469640644361834,0.16736842105263158,1.3229508196721314,0.0459016393442623,50.17,Low Risk
AES CORP,0,Medium Risk Cluster,0.1824415684759513,0.07440719542109567,0.14610905240868183,0.23623720301332818,0.01757774773034576,46.68,Low Risk
AFLAC INC,0,Medium Risk Cluster,0.7468017515239976,0.2127039627039627,0.07185559898827316,0.1473340774448356,0.03133854211384906,59.39,Medium Risk
"AGILENT TECHNOLOGIES, INC.",0,Medium Risk Cluster,0.47054202670856243,0.29082774049217003,0.29883138564273787,0.35113904163393556,0.1021209740769835,33.55,Low Risk
AGNC Investment Corp.,0,Medium Risk Cluster,0.8922488703510602,0.20706757594544328,0.0043825477210751845,0.07008168230795968,0.014511644073687869,75.32,High Risk
AGREE REALTY CORP,0,Medium Risk Cluster,0.360204081632653,0.2777777777777778,0.0056657223796034,0.07346938775510203,0.02040816326530612,57.06,Medium Risk
AKAMAI TECHNOLOGIES INC,0,Medium Risk Cluster,0.5662020905923345,0.18,0.14307692307692307,0.21777003484320556,0.039198606271777,48.34,Low Risk
ALBEMARLE CORP,0,Medium Risk Cluster,0.5769700671960903,-0.09922178988326849,0.06458443620963472,0.3139890042761148,-0.031154551007941355,67.14,High Risk
ALLIANT ENERGY CORP,0,Medium Risk Cluster,0.3779511804721889,0.18577981651376146,0.05929062996294336,0.1744697879151661,0.032412965186074436,50.34,Low Risk
ALLSTATE CORP,0,Medium Risk Cluster,0.7445724782899131,0.15186881370955826,0.004177413928451273,0.5652137608550434,0.08583834335337341,61.63,Medium Risk
"ALNYLAM PHARMACEUTICALS, INC.",0,Medium Risk Cluster,0.8410462776659959,0.2980769230769231,0.39712918660287083,0.20925553319919518,0.06237424547283703,46.58,Low Risk
"ALTRIA GROUP, INC.",0,Medium Risk Cluster,1.0985151342090234,0.29853951890034364,0.11619443722381076,0.6647629925756711,0.19845802398629353,46.81,Low Risk
AMEREN CORP,0,Medium Risk Cluster,0.1948226072607261,0.05909090909090909,0.001193188999862925,0.18151815181518155,0.010726072607260728,65.48,High Risk
AMERICAN ELECTRIC POWER CO INC,0,Medium Risk Cluster,0.7181548139087892,0.06764168190127971,0.0024330900243309003,0.19115848331294777,0.012930281320985497,78.15,High Risk
AMERICAN EXPRESS CO,0,Medium Risk Cluster,0.8884519246792201,0.3892882818116463,0.00243829244504464,0.09271788035327445,0.03609398433594401,70.82,High Risk
AMERICAN FINANCIAL GROUP INC,0,Medium Risk Cluster,0.852328431372549,0.10281517747858017,0.06218547807332854,0.2503063725490196,0.025735294117647058,67.83,High Risk
"AMERICAN INTERNATIONAL GROUP, INC.",0,Medium Risk Cluster,0.7447441860465116,0.11580127007844603,0.0031018402864518278,0.166015503875969,0.019224806201550388,75.07,High Risk
AMERICAN TOWER CORP /MA/,0,Medium Risk Cluster,0.8362082608007597,0.1588345864661654,0.027819833459500377,0.16838107295458143,0.02674473809147017,68.89,High Risk
AMERIPRISE FINANCIAL INC,0,Medium Risk Cluster,0.965688842325825,0.18826017979904813,0.012584757255221046,0.09905709795704556,0.01864850707176532,75.31,High Risk
AMETEK INC/,0,Medium Risk Cluster,0.33851897946484133,0.19999999999999998,0.08455882352941176,0.46048537647790916,0.09209707529558182,38.1,Low Risk
"AMKOR TECHNOLOGY, INC.",0,Medium Risk Cluster,0.4459459459459459,0.09135802469135802,0.3801652892561983,0.49754299754299747,0.04545454545454545,39.23,Low Risk
AMPHENOL CORP /DE/,0,Medium Risk Cluster,0.6272075055187638,0.1849285404937202,0.4896612406511219,0.6371412803532008,0.11782560706401764,34.5,Low Risk
ANALOG DEVICES INC,0,Medium Risk Cluster,0.1968118357991248,0.36612903225806454,0.2646903123345685,0.12919358199624922,0.04730152115023963,32.96,Low Risk
ANNALY CAPITAL MANAGEMENT INC,0,Medium Risk Cluster,0.8808347467000958,0.25170489770613763,0.011804102134784427,0.0594720153381019,0.014969397537054787,72.26,High Risk
ANTERO RESOURCES Corp,0,Medium Risk Cluster,0.41735849056603774,0.12878787878787878,0.005424954792043399,0.39849056603773586,0.05132075471698114,56.62,Medium Risk
APA Corp,0,Medium Risk Cluster,0.5318130630630631,0.17730936143831372,0.05505558496559026,0.4541103603603603,0.080518018018018,48.95,Low Risk
APi Group Corp,0,Medium Risk Cluster,0.6185682326621924,0.03792667509481668,0.16455696202531644,0.8847874720357942,0.03355704697986577,48.15,Low Risk
ARCH CAPITAL GROUP LTD.,0,Medium Risk Cluster,0.6944724886421,0.22077270446562972,0.0179901871706342,0.25151438667339726,0.05552751135790006,60.8,Medium Risk
ARES CAPITAL CORP,0,Medium Risk Cluster,0.5417867435158502,0.1611903285802852,0.037825059101654845,0.2582452769772654,0.041626641050272174,56.11,Medium Risk
"ASSURANT, INC.",0,Medium Risk Cluster,0.8382474510884542,0.06791569086651053,0.0601577909270217,0.3529898043538165,0.023973546431523836,68.51,High Risk
AT&T INC.,0,Medium Risk Cluster,0.6640409328891004,0.17469160366096298,0.06533347668709459,0.29902427415516425,0.052237029985721085,55.55,Medium Risk
ATI INC,0,Medium Risk Cluster,0.623529411764706,0.09900990099009901,0.1320754716981132,0.7921568627450981,0.07843137254901962,45.61,Low Risk
ATMOS ENERGY CORP,0,Medium Risk Cluster,0.33433628318584074,0.2553191489361702,0.021175224986765485,0.1663716814159292,0.04247787610619469,51.05,Low Risk
AUTOMATIC DATA PROCESSING INC,0,Medium Risk Cluster,0.8840172381487728,0.19844357976653698,0.07100466299279357,0.3852351508338018,0.07644744238336144,57.37,Medium Risk
AUTOZONE INC,0,Medium Risk Cluster,0.4878615702479339,0.13199577613516367,0.028586553732133407,0.978305785123967,0.1291322314049587,44.64,Low Risk
AVALONBAY COMMUNITIES INC,0,Medium Risk Cluster,0.46687697160883274,0.35526315789473684,0.01833976833976834,0.1369986480396575,0.04867057232987832,53.91,Low Risk
"AXON ENTERPRISE, INC.",0,Medium Risk Cluster,0.5371428571428571,0.04316546762589928,0.3191489361702128,0.39714285714285713,0.017142857142857144,49.66,Low Risk
AbbVie Inc.,0,Medium Risk Cluster,0.07050612123021797,0.06916285153695227,0.5537321334039175,0.4565541952821737,0.03157659002687369,33.37,Low Risk
"Affirm Holdings, Inc.",0,Medium Risk Cluster,0.7255605381165919,0.015527950310559006,0.16687268232385663,0.28878923766816145,0.004484304932735426,64.47,Medium Risk
"Air Products & Chemicals, Inc.",0,Medium Risk Cluster,0.577447637603507,-0.032392026578073094,0.0784479122733024,0.2932294203604481,-0.009498295177788602,65.85,High Risk
"Airbnb, Inc.",0,Medium Risk Cluster,0.6307969383160738,0.20506535947712415,0.46823697359029265,0.5511031067086898,0.11301215668617738,35.35,Low Risk
Alcoa Corp,0,Medium Risk Cluster,0.6162430254184749,0.09041309431021044,0.1609657947686117,0.7954122752634842,0.07191568505889646,44.5,Low Risk
Allegion plc,0,Medium Risk Cluster,0.6053639846743295,0.26556016597510373,0.11392405063291139,0.46168582375478934,0.12260536398467434,42.12,Low Risk
Allison Transmission Holdings Inc,0,Medium Risk Cluster,0.6924342105263158,0.20598006644518274,0.35629453681710216,0.4950657894736842,0.10197368421052631,39.19,Low Risk
Ally Financial Inc.,0,Medium Risk Cluster,0.9209183673469388,0.10745891276864727,0.055567867036011076,0.040357142857142855,0.004336734693877551,77.42,High Risk
Alphabet Inc.,0,Medium Risk Cluster,0.30241231017336384,0.1599569486354973,0.17059215642706366,0.5088260986426573,0.08139027012498402,33.79,Low Risk
Amcor plc,0,Medium Risk Cluster,0.6833018613434043,0.10039370078740158,0.03276746940386893,0.13703803614782845,0.013757755597518209,70.31,High Risk
"American Healthcare REIT, Inc.",0,Medium Risk Cluster,0.38121546961325964,0.030973451327433635,0.053140096618357495,0.4162062615101289,0.012891344383057092,57.45,Medium Risk
American Homes 4 Rent,0,Medium Risk Cluster,0.4176737160120846,0.8305084745762712,0.019891500904159132,0.0891238670694864,0.07401812688821752,52.06,Low Risk
"American Water Works Company, Inc.",0,Medium Risk Cluster,0.2665067720090294,0.3687707641196014,0.010587612493382742,0.08493227990970655,0.031320541760722354,51.96,Low Risk
Amrize Ltd,0,Medium Risk Cluster,0.4531958762886598,0.10076206604572395,0.17470427661510463,0.48701030927835054,0.04907216494845361,43.11,Low Risk
Antero Midstream Corp,0,Medium Risk Cluster,0.6649659863945578,0.016806722689075633,0.04603580562659846,0.20238095238095238,0.0034013605442176874,73.73,High Risk
Aon plc,0,Medium Risk Cluster,0.8121307601417881,0.3426183844011142,0.029097963142580018,0.21209137455691215,0.07266640409610083,60.47,Medium Risk
"Apollo Global Management, Inc.",0,Medium Risk Cluster,0.9077557218787288,0.10889235569422778,0.0214611763018904,0.06953031782188956,0.007571320099793904,79.9,High Risk
Apple Inc.,0,Medium Risk Cluster,0.7947611624540697,0.18241716867470062,0.12584497916009948,0.7393386037189623,0.13486805478231959,44.99,Low Risk
Aptiv PLC,0,Medium Risk Cluster,0.5941905168731312,0.008333333333333335,0.13299784327821712,0.8714224690303288,0.007261853908586075,51.02,Low Risk
