Unnamed: 0,Company,CIK,Revenue,NetIncome,Assets,Liabilities,Cash,Risk Level,Data_Completeness
1,AMAZON COM INC,1018724,302.89400000000103,48.450000000000486,800.320000000001,9.445,40.35200000000017,Low Risk,80.0
2,Walmart Inc.,104169,302.89400000000103,21.89,284.67,9.445,10.73,Low Risk,80.0
3,UNITEDHEALTH GROUP INC,731766,302.89400000000103,12.06,309.58,207.88,24.36,Medium Risk,100.0
4,Alphabet Inc.,1652044,302.89400000000103,48.450000000000486,595.28,180.02,30.71,Low Risk,100.0
5,CVS HEALTH Corp,64803,302.89400000000103,1.77,253.54,178.16,8.45,Medium Risk,100.0
6,BERKSHIRE HATHAWAY INC,1067983,302.89400000000103,48.450000000000486,800.320000000001,502.47,31.58,Low Risk,100.0
7,EXXON MOBIL CORP,34088,302.89400000000103,28.84,448.98,182.35,10.68,Low Risk,100.0
8,"Cencora, Inc.",1140859,302.89400000000103,1.55,76.59,9.445,4.36,Low Risk,80.0
9,COSTCO WHOLESALE CORP /NEW,909832,275.24,8.1,77.1,47.94,14.16,Medium Risk,100.0
10,Cigna Group,1739940,274.9,5.96,157.92,116.05,7.68,Medium Risk,100.0
11,Apple Inc.,320193,265.6,48.450000000000486,359.24,285.51,35.93,Medium Risk,100.0
12,CARDINAL HEALTH INC,721371,222.58,1.56,53.12,9.445,3.87,Low Risk,80.0
13,NVIDIA CORP,1045810,215.94,48.450000000000486,206.8,49.51,10.61,Low Risk,100.0
14,"Elevance Health, Inc.",1156039,199.12,5.66,121.49,77.47,9.49,Medium Risk,100.0
15,CENTENE CORP,1071739,194.78,-2.9459999999999997,76.75,56.69,17.89,Medium Risk,100.0
16,CHEVRON CORP,93410,189.03,12.3,324.01,131.84,8.18,Low Risk,100.0
17,General Motors Co,1467858,185.02,2.7,281.28,218.12,20.95,Medium Risk,100.0
18,FORD MOTOR CO,37996,184.99,5.88,289.16,253.18,23.36,High Risk,100.0
19,JPMORGAN CHASE & CO,19617,182.45,48.450000000000486,800.320000000001,680.4260000000021,40.35200000000017,High Risk,100.0
20,KROGER CO,56873,147.12,2.67,52.62,44.34,3.96,High Risk,100.0
21,VERIZON COMMUNICATIONS INC,732712,138.19,17.17,404.26,9.445,19.05,Low Risk,80.0
22,Phillips 66,1534701,132.38,4.4,73.68,43.44,1.12,Medium Risk,100.0
23,HUMANA INC,49071,129.66,1.19,48.91,31.17,4.2,Medium Risk,100.0
24,AT&T INC.,732717,125.65,21.95,420.2,279.03,18.23,Medium Risk,100.0
25,COMCAST CORP,1166691,121.57,20.0,272.63,9.445,9.48,Low Risk,80.0
26,BANK OF AMERICA CORP /DE/,70858,113.1,30.51,800.320000000001,680.4260000000021,40.35200000000017,High Risk,100.0
27,MCKESSON CORP,927653,112.08,3.29,75.14,9.445,5.69,Low Risk,80.0
28,Dell Technologies Inc.,1571996,95.57,4.59,79.75,81.13,3.63,High Risk,100.0
29,"Tesla, Inc.",1318605,94.83,3.79,137.81,54.94,16.51,Low Risk,100.0
30,Walt Disney Co,1744489,94.42,12.4,197.51,9.445,5.7,Low Risk,80.0
31,JOHNSON & JOHNSON,200406,94.19,26.8,199.21,117.67,19.71,Medium Risk,100.0
32,PEPSICO INC,77476,93.92,8.24,107.4,86.85,9.16,High Risk,100.0
33,BOEING CO,12927,89.46,2.23,168.24,162.78,10.92,High Risk,100.0
34,PROGRESSIVE CORP/OH/,80661,87.67,11.31,123.04,92.72,0.3725,Medium Risk,80.0
35,Energy Transfer LP,1276187,85.54,4.43,141.29,9.445,1.27,Low Risk,80.0
36,CITIGROUP INC,831001,85.22,14.31,800.320000000001,680.4260000000021,40.35200000000017,High Risk,100.0
37,WELLS FARGO & COMPANY/MN,72971,85.06,21.34,800.320000000001,680.4260000000021,0.3725,High Risk,80.0
38,PROCTER & GAMBLE Co,80424,84.28,15.97,125.23,72.95,4.24,Medium Risk,100.0
