,Company,CIK,Revenue ($B),Net Income ($B),Total Assets ($B),Total Liabilities ($B),Cash ($B),Risk Level
1,AMAZON COM INC,0001018724,716.92,77.67,818.04,,86.81,Low Risk
2,Walmart Inc.,0000104169,680.99,19.44,260.82,,9.04,Low Risk
3,UNITEDHEALTH GROUP INC,0000731766,447.57,12.06,309.58,207.88,24.36,Medium Risk
4,Alphabet Inc.,0001652044,402.84,132.17,595.28,180.02,30.71,Low Risk
5,CVS HEALTH Corp,0000064803,402.07,1.77,253.54,178.16,8.45,Medium Risk
6,BERKSHIRE HATHAWAY INC,0001067983,371.44,66.97,1222.18,502.47,31.58,Low Risk
7,EXXON MOBIL CORP,0000034088,332.24,28.84,448.98,182.35,10.68,Low Risk
8,"Cencora, Inc.",0001140859,321.33,1.55,76.59,,4.36,Low Risk
9,COSTCO WHOLESALE CORP /NEW,0000909832,275.24,8.1,77.1,47.94,14.16,Medium Risk
10,Cigna Group,0001739940,274.9,5.96,157.92,116.05,7.68,Medium Risk
11,Apple Inc.,0000320193,265.6,112.01,359.24,285.51,35.93,Medium Risk
12,CARDINAL HEALTH INC,0000721371,222.58,1.56,53.12,,3.87,Low Risk
13,NVIDIA CORP,0001045810,215.94,120.07,206.8,49.51,10.61,Low Risk
14,"Elevance Health, Inc.",0001156039,199.12,5.66,121.49,77.47,9.49,Medium Risk
15,CENTENE CORP,0001071739,194.78,-6.67,76.75,56.69,17.89,Medium Risk
16,CHEVRON CORP,0000093410,189.03,12.3,324.01,131.84,8.18,Low Risk
17,General Motors Co,0001467858,185.02,2.7,281.28,218.12,20.95,Medium Risk
18,FORD MOTOR CO,0000037996,184.99,5.88,289.16,253.18,23.36,High Risk
19,JPMORGAN CHASE & CO,0000019617,182.45,57.05,4424.9,4062.46,278.79,High Risk
20,KROGER CO,0000056873,147.12,2.67,52.62,44.34,3.96,High Risk
21,VERIZON COMMUNICATIONS INC,0000732712,138.19,17.17,404.26,,19.05,Low Risk
22,Phillips 66,0001534701,132.38,4.4,73.68,43.44,1.12,Medium Risk
23,HUMANA INC,0000049071,129.66,1.19,48.91,31.17,4.2,Medium Risk
24,AT&T INC.,0000732717,125.65,21.95,420.2,279.03,18.23,Medium Risk
25,COMCAST CORP,0001166691,121.57,20.0,272.63,,9.48,Low Risk
26,BANK OF AMERICA CORP /DE/,0000070858,113.1,30.51,3411.74,3108.49,161.56,High Risk
