Company,PRS_Score,Risk_Level,Connections,Centrality
"Apollo Global Management, Inc.",79.9,High Risk,32,0.6531
"PNC FINANCIAL SERVICES GROUP, INC.",90.42,Very High Risk,31,0.6327
PRUDENTIAL FINANCIAL INC,82.04,Very High Risk,31,0.6327
"Pinnacle Financial Partners, Inc.",81.23,Very High Risk,31,0.6327
"Fidelity National Financial, Inc.",82.82,Very High Risk,31,0.6327
PRINCIPAL FINANCIAL GROUP INC,85.46,Very High Risk,31,0.6327
METLIFE INC,82.65,Very High Risk,30,0.6122
CAPITAL ONE FINANCIAL CORP,87.02,Very High Risk,30,0.6122
CNA FINANCIAL CORP,77.27,High Risk,30,0.6122
REINSURANCE GROUP OF AMERICA INC,80.73,Very High Risk,29,0.5918
Ally Financial Inc.,77.42,High Risk,29,0.5918
KKR & Co. Inc.,77.22,High Risk,29,0.5918
"Interactive Brokers Group, Inc.",88.41,Very High Risk,29,0.5918
TRUIST FINANCIAL CORP,76.88,High Risk,28,0.5714
"Corebridge Financial, Inc.",94.98,Very High Risk,27,0.551
"AMERICAN INTERNATIONAL GROUP, INC.",75.07,High Risk,26,0.5306
Unum Group,80.04,Very High Risk,25,0.5102
"Circle Internet Group, Inc.",91.45,Very High Risk,25,0.5102
MGM Resorts International,78.33,High Risk,25,0.5102
AGNC Investment Corp.,75.32,High Risk,25,0.5102
EXELON CORP,78.84,High Risk,25,0.5102
LOEWS CORP,75.76,High Risk,24,0.4898
STATE STREET CORP,78.28,High Risk,24,0.4898
NORTHERN TRUST CORP,77.3,High Risk,24,0.4898
"RYAN SPECIALTY HOLDINGS, INC.",80.55,Very High Risk,23,0.4694
CITIZENS FINANCIAL GROUP INC/RI,72.77,High Risk,23,0.4694
FIRSTENERGY CORP,77.09,High Risk,21,0.4286
AMERIPRISE FINANCIAL INC,75.31,High Risk,21,0.4286
"Equitable Holdings, Inc.",89.71,Very High Risk,19,0.3878
CROWN CASTLE INC.,82.95,Very High Risk,18,0.3673
AMERICAN ELECTRIC POWER CO INC,78.15,High Risk,18,0.3673
KEYCORP /NEW/,75.72,High Risk,17,0.3469
Bank of New York Mellon Corp,72.67,High Risk,13,0.2653
US BANCORP DE,73.22,High Risk,13,0.2653
Talen Energy Corp,77.67,High Risk,9,0.1837
CHART INDUSTRIES INC,73.69,High Risk,8,0.1633
FIFTH THIRD BANCORP,74.32,High Risk,8,0.1633
Restaurant Brands International Inc.,73.59,High Risk,8,0.1633
Antero Midstream Corp,73.73,High Risk,7,0.1429
"CoreWeave, Inc.",83.85,Very High Risk,7,0.1429
"HEALTHPEAK PROPERTIES, INC.",73.28,High Risk,4,0.0816
"Rocket Companies, Inc.",72.75,High Risk,4,0.0816
Vistra Corp.,73.46,High Risk,3,0.0612
EchoStar CORP,77.33,High Risk,3,0.0612
J M SMUCKER Co,73.97,High Risk,2,0.0408
IONIS PHARMACEUTICALS INC,80.14,Very High Risk,1,0.0204
Jazz Pharmaceuticals plc,77.64,High Risk,1,0.0204
Roblox Corp,75.27,High Risk,1,0.0204
"CONSTELLATION BRANDS, INC.",73.91,High Risk,1,0.0204
ENTEGRIS INC,73.11,High Risk,0,0.0
