Company,Debt_Score,Profit_Score,Liquidity_Score,Efficiency_Score,PRS_Score,Lower_Bound,Upper_Bound,Uncertainty,Anomaly,Risk_Level
"Corebridge Financial, Inc.",23.08,23.32,24.85,23.73,94.98,87.58,100.0,7.4,Normal,Very High Risk
"Circle Internet Group, Inc.",22.87,23.35,20.88,24.35,91.45,84.79,98.11,6.66,Normal,Very High Risk
"PNC FINANCIAL SERVICES GROUP, INC.",21.74,19.72,24.85,24.11,90.42,82.6,98.24,7.82,Normal,Very High Risk
"Equitable Holdings, Inc.",23.25,23.9,18.31,24.25,89.71,83.12,96.3,6.59,Normal,Very High Risk
"Interactive Brokers Group, Inc.",21.84,22.19,19.72,24.66,88.41,81.87,94.95,6.54,Normal,Very High Risk
CAPITAL ONE FINANCIAL CORP,19.92,19.55,24.85,22.7,87.02,79.94,94.1,7.08,Normal,Very High Risk
PRINCIPAL FINANCIAL GROUP INC,23.01,16.98,21.88,23.59,85.46,79.04,91.88,6.42,Normal,Very High Risk
"CoreWeave, Inc.",22.67,24.28,14.95,21.95,83.85,77.5,90.2,6.35,Normal,Very High Risk
CROWN CASTLE INC.,23.42,14.57,24.25,20.71,82.95,76.63,89.27,6.32,Normal,Very High Risk
"Fidelity National Financial, Inc.",22.33,19.79,19.82,20.88,82.82,76.51,89.13,6.31,Normal,Very High Risk
METLIFE INC,22.19,19.62,18.86,21.98,82.65,76.34,88.96,6.31,Normal,Very High Risk
PRUDENTIAL FINANCIAL INC,21.16,18.66,19.41,22.81,82.04,75.76,88.32,6.28,Normal,Very High Risk
"Pinnacle Financial Partners, Inc.",21.12,16.63,23.01,20.47,81.23,73.78,88.68,7.45,Normal,Very High Risk
REINSURANCE GROUP OF AMERICA INC,22.22,19.14,19.34,20.03,80.73,74.5,86.96,6.23,Normal,Very High Risk
"RYAN SPECIALTY HOLDINGS, INC.",21.36,21.84,21.33,16.02,80.55,74.33,86.77,6.22,Normal,Very High Risk
IONIS PHARMACEUTICALS INC,20.82,24.85,11.08,23.39,80.14,73.93,86.35,6.21,Normal,Very High Risk
Unum Group,19.89,18.69,23.15,18.31,80.04,73.24,86.84,6.8,Normal,Very High Risk
"Apollo Global Management, Inc.",22.12,13.99,20.71,23.08,79.9,73.7,86.1,6.2,Normal,High Risk
EXELON CORP,18.28,19.24,23.11,18.21,78.84,72.69,84.99,6.15,Normal,High Risk
MGM Resorts International,22.43,21.71,17.01,17.18,78.33,72.2,84.46,6.13,Normal,High Risk
STATE STREET CORP,22.5,6.79,24.85,24.14,78.28,71.55,85.01,6.73,Normal,High Risk
AMERICAN ELECTRIC POWER CO INC,17.25,17.83,24.35,18.72,78.15,72.02,84.28,6.13,Normal,High Risk
Talen Energy Corp,21.91,23.83,14.68,17.25,77.67,71.56,83.78,6.11,Normal,High Risk
Jazz Pharmaceuticals plc,19.68,24.66,9.36,23.94,77.64,70.93,84.35,6.71,Normal,High Risk
Ally Financial Inc.,22.39,14.16,16.8,24.07,77.42,71.32,83.52,6.1,Normal,High Risk
EchoStar CORP,20.95,24.21,17.42,14.75,77.33,71.24,83.42,6.09,Normal,High Risk
NORTHERN TRUST CORP,22.57,6.62,24.45,23.66,77.3,70.61,83.99,6.69,Normal,High Risk
CNA FINANCIAL CORP,19.96,16.19,23.25,17.87,77.27,70.58,83.96,6.69,Normal,High Risk
KKR & Co. Inc.,19.44,12.79,21.43,23.56,77.22,71.13,83.31,6.09,Normal,High Risk
FIRSTENERGY CORP,18.14,17.87,24.69,16.39,77.09,71.01,83.17,6.08,Normal,High Risk
